actual,line,opp.line,outcomeline1,outcomeline2,PredProba,PredProba.opp,EV_1,EV_2,BestEV,makeBet,Bet,Net
1,-240,200,416.6666666666667,2000.0,0.6301019577148186,0.3698980422851814,262.5424823811744,739.7960845703628,739.7960845703628,False,0,-1000.0
1,105,-125,1050.0,800.0,0.41602833820132085,0.5839716617986792,436.8297551113869,467.1773294389434,467.1773294389434,False,0,-1000.0
1,105,-125,1050.0,800.0,0.4370928980206388,0.5629071019793612,458.94754292167073,450.325681583489,458.94754292167073,False,1,458.94754292167073
1,-185,165,540.5405405405405,1650.0,0.6576028333825141,0.34239716661748587,355.46099101757517,564.9553249188517,564.9553249188517,False,0,-1000.0
1,-190,170,526.3157894736843,1700.0,0.5889667673727256,0.4110332326272744,309.9825091435398,698.7564954663666,698.7564954663666,False,0,-1000.0
1,-220,180,454.54545454545456,1800.0,0.6021264721355777,0.3978735278644223,273.69385097071716,716.1723501559602,716.1723501559602,False,0,-1000.0
0,-190,165,526.3157894736843,1650.0,0.6318152927136012,0.36818470728639885,332.53436458610594,607.5047670225581,607.5047670225581,False,0,607.5047670225581
1,-600,475,166.66666666666669,4750.0,0.8096183929189712,0.1903816070810288,134.93639881982855,904.3126336348868,904.3126336348868,False,0,-1000.0
1,-260,210,384.61538461538464,2100.0,0.622677359431467,0.37732264056853304,239.49129208902576,792.3775451939193,792.3775451939193,False,0,-1000.0
0,450,-600,4500.0,166.66666666666669,0.22772048250911534,0.7722795174908846,1024.742171291019,128.71325291514745,1024.742171291019,True,1,-1000.0
1,-650,500,153.84615384615387,5000.0,0.82461133299698,0.17538866700302003,126.8632819995354,876.9433350151002,876.9433350151002,False,0,-1000.0
1,-450,375,222.22222222222223,3750.0,0.7205374569943735,0.27946254300562645,160.11943488763856,1047.9845362710992,1047.9845362710992,True,0,-1000.0
1,160,-185,1600.0,540.5405405405405,0.35280407116800694,0.6471959288319931,564.4865138688111,349.8356372064827,564.4865138688111,False,1,564.4865138688111
0,285,-350,2850.0,285.7142857142857,0.28348796906317303,0.7165120309368269,807.9407118300431,204.7177231248077,807.9407118300431,False,1,-1000.0
0,200,-240,2000.0,416.6666666666667,0.3301617924344948,0.6698382075655052,660.3235848689895,279.09925315229384,660.3235848689895,False,1,-1000.0
1,-500,400,200.0,4000.0,0.7837336548960112,0.2162663451039888,156.74673097920225,865.0653804159551,865.0653804159551,False,0,-1000.0
1,-310,250,322.5806451612903,2500.0,0.7038733760351217,0.2961266239648783,227.05592775326505,740.3165599121958,740.3165599121958,False,0,-1000.0
1,-170,150,588.2352941176471,1500.0,0.6395635041219446,0.3604364958780554,376.2138259540851,540.654743817083,540.654743817083,False,0,-1000.0
0,160,-185,1600.0,540.5405405405405,0.4500685077952816,0.5499314922047184,720.1096124724506,297.2602660566045,720.1096124724506,False,1,-1000.0
0,210,-260,2100.0,384.61538461538464,0.3535449873106142,0.6464550126893858,742.4444733522897,248.63654334207146,742.4444733522897,False,1,-1000.0
1,-270,230,370.3703703703704,2300.0,0.6540120977526974,0.3459879022473026,242.2267028713694,795.7721751687959,795.7721751687959,False,0,-1000.0
1,-200,175,500.0,1750.0,0.6660316204951013,0.33396837950489866,333.0158102475507,584.4446641335727,584.4446641335727,False,0,-1000.0
0,750,-1200,7500.0,83.33333333333334,0.07973820594191923,0.9202617940580807,598.0365445643943,76.6884828381734,598.0365445643943,False,1,-1000.0
1,-1000,650,100.0,6500.0,0.8960216194517664,0.1039783805482336,89.60216194517663,675.8594735635185,675.8594735635185,False,0,-1000.0
0,600,-900,6000.0,111.11111111111111,0.14037602230600602,0.859623977693994,842.256133836036,95.51377529933266,842.256133836036,False,1,-1000.0
0,-800,550,125.0,5500.0,0.8372834453599847,0.16271655464001533,104.66043066999808,894.9410505200843,894.9410505200843,False,0,894.9410505200843
1,-190,160,526.3157894736843,1600.0,0.6214442429307429,0.37855575706925715,327.07591733196995,605.6892113108114,605.6892113108114,False,0,-1000.0
1,235,-275,2350.0,363.6363636363636,0.35026534974551776,0.6497346502544823,823.1235719019668,236.26714554708445,823.1235719019668,False,1,823.1235719019668
1,-400,330,250.0,3300.0,0.7091100321370477,0.2908899678629523,177.27750803426193,959.9368939477425,959.9368939477425,False,0,-1000.0
0,-160,140,625.0,1400.0,0.5918308436657043,0.40816915633429574,369.8942772910652,571.436818868014,571.436818868014,False,0,571.436818868014
0,145,-170,1450.0,588.2352941176471,0.3807311377126669,0.619268862287333,552.0601496833671,364.27580134549004,552.0601496833671,False,1,-1000.0
