Date,Team,Tm.Id,RA_ROW,Opponent,Opp.Id,Month,Year,Game,Home,B2B,Opp.B2B,Diff,Win,PTS,FGM,FGA,3PM,3PA,FTM,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.ORB,Opp.Turnovers,Opp.FTA,Opp.FGA,Opp.PTS
1/27/2016,ATL,ATL42396,TRUE,LAC,LAC42396,1,2016,47,1,0,1,-2,0,83,33,79,10,23,7,14,8,49,21,6,3,22,17,9,11,21,85,85
1/28/2016,ATL,ATL42397,TRUE,IND,IND42397,1,2016,48,0,1,0,-19,0,92,33,83,7,28,19,21,5,32,20,9,4,14,22,10,16,30,78,111
1/31/2016,ATL,ATL42400,TRUE,MIA,MIA42400,1,2016,49,0,0,0,-18,0,87,27,70,5,22,28,32,2,31,13,10,3,17,23,10,18,26,81,105
2/1/2016,ATL,ATL42401,TRUE,DAL,DAL42401,2,2016,50,1,1,1,15,1,112,42,80,14,35,14,19,5,50,29,2,6,15,25,10,6,38,85,97
2/3/2016,ATL,ATL42403,TRUE,PHI,PHI42403,2,2016,51,0,0,0,38,1,124,48,92,10,20,18,25,11,52,28,13,7,18,12,6,23,14,84,86
2/5/2016,ATL,ATL42405,TRUE,IND,IND42405,2,2016,52,1,0,0,6,1,102,39,76,10,27,14,20,3,32,29,10,5,15,16,19,19,9,91,96
2/7/2016,ATL,ATL42407,TRUE,ORL,ORL42407,2,2016,53,0,0,0,-2,0,94,35,91,13,28,11,15,18,50,22,7,7,16,13,8,18,12,85,96
2/8/2016,ATL,ATL42408,TRUE,ORL,ORL42408,2,2016,54,1,1,1,-7,0,110,43,92,12,29,12,20,8,47,31,9,4,14,20,6,13,22,93,117
2/10/2016,ATL,ATL42410,TRUE,CHI,CHI42410,2,2016,55,0,0,0,23,1,113,43,90,13,33,14,15,11,46,25,16,7,12,14,11,18,12,86,90
2/19/2016,ATL,ATL42419,TRUE,MIA,MIA42419,2,2016,56,1,0,0,-4,0,111,41,87,16,36,13,13,8,42,27,7,4,21,23,10,14,28,88,115
2/20/2016,ATL,ATL42420,TRUE,MIL,MIL42420,2,2016,57,1,1,1,-8,0,109,44,106,9,41,12,18,10,49,31,11,8,16,27,17,17,32,104,117
2/22/2016,ATL,ATL42422,TRUE,GSW,GSW42422,2,2016,58,1,0,0,-10,0,92,36,86,10,34,10,16,8,47,23,7,7,17,17,6,13,12,89,102
2/26/2016,ATL,ATL42426,TRUE,CHI,CHI42426,2,2016,59,1,0,0,15,1,103,37,89,7,34,22,24,13,48,28,14,11,11,21,17,20,22,88,88
2/28/2016,ATL,ATL42428,TRUE,CHO,CHO42428,2,2016,60,1,0,0,11,1,87,38,77,8,17,3,5,6,48,29,4,5,15,19,10,6,23,81,76
3/1/2016,ATL,ATL42430,TRUE,GSW,GSW42430,3,2016,61,0,0,0,-4,0,105,37,80,12,33,19,24,7,42,25,9,5,17,17,18,11,17,103,109
3/4/2016,ATL,ATL42433,TRUE,LAL,LAL42433,3,2016,62,0,0,0,29,1,106,37,68,13,28,19,26,3,39,31,6,8,10,18,17,10,20,85,77
3/5/2016,ATL,ATL42434,TRUE,LAC,LAC42434,3,2016,63,0,1,0,10,1,107,40,89,10,27,17,20,10,53,26,9,3,18,26,6,18,28,79,97
3/8/2016,ATL,ATL42437,TRUE,UTA,UTA42437,3,2016,64,0,0,0,7,1,91,38,80,8,25,7,14,4,41,15,9,4,16,19,15,20,23,86,84
3/10/2016,ATL,ATL42439,TRUE,TOR,TOR42439,3,2016,65,0,0,0,-8,0,96,35,82,7,23,19,27,6,33,17,8,5,11,24,11,13,29,82,104
3/12/2016,ATL,ATL42441,TRUE,MEM,MEM42441,3,2016,66,1,0,1,12,1,95,36,84,11,34,12,17,8,47,27,9,12,11,14,20,16,14,95,83
3/13/2016,ATL,ATL42442,TRUE,IND,IND42442,3,2016,67,1,1,1,29,1,104,40,85,15,30,9,10,9,50,27,11,6,15,13,7,16,7,87,75
3/16/2016,ATL,ATL42445,TRUE,DET,DET42445,3,2016,68,0,0,0,4,1,118,39,89,12,34,28,34,8,46,25,10,3,12,26,9,13,39,84,114
3/17/2016,ATL,ATL42446,TRUE,DEN,DEN42446,3,2016,69,1,1,0,18,1,116,40,80,12,26,24,28,7,40,32,5,8,12,16,9,14,17,87,98
3/19/2016,ATL,ATL42448,TRUE,HOU,HOU42448,3,2016,70,1,0,1,12,1,109,44,88,14,38,7,12,9,40,32,12,6,16,20,15,17,31,84,97
3/21/2016,ATL,ATL42450,TRUE,WAS,WAS42450,3,2016,71,1,0,0,-15,0,102,38,78,13,33,13,17,2,33,23,5,6,14,15,9,9,20,91,117
